CYCLE,ROM_VAL,IR,D,BUS,ALU,AC,RAM_ADDR,JMP,ROM_ADDR,
146,01a0,10100000,00000001,00010111,00001011,11110101,0000000000010111,1,0000000000010111,
147,17ec,11101100,00010111,00000001,11110100,11110100,0000000000000001,0,0000000000011000,
148,01a0,10100000,00000001,00010111,00001100,11110100,0000000000010111,1,0000000000010111,
149,17ec,11101100,00010111,00000001,11110011,11110011,0000000000000001,0,0000000000011000,
150,01a0,10100000,00000001,00010111,00001101,11110011,0000000000010111,1,0000000000010111,
151,17ec,11101100,00010111,00000001,11110010,11110010,0000000000000001,0,0000000000011000,
152,01a0,10100000,00000001,00010111,00001110,11110010,0000000000010111,1,0000000000010111,
153,17ec,11101100,00010111,00000001,11110001,11110001,0000000000000001,0,0000000000011000,
154,01a0,10100000,00000001,00010111,00001111,11110001,0000000000010111,1,0000000000010111,
155,17ec,11101100,00010111,00000001,11110000,11110000,0000000000000001,0,0000000000011000,
156,01a0,10100000,00000001,00010111,00010000,11110000,0000000000010111,1,0000000000010111,
157,17ec,11101100,00010111,00000001,11101111,11101111,0000000000000001,0,0000000000011000,
158,01a0,10100000,00000001,00010111,00010001,11101111,0000000000010111,1,0000000000010111,
159,17ec,11101100,00010111,00000001,11101110,11101110,0000000000000001,0,0000000000011000,
160,01a0,10100000,00000001,00010111,00010010,11101110,0000000000010111,1,0000000000010111,
161,17ec,11101100,00010111,00000001,11101101,11101101,0000000000000001,0,0000000000011000,
162,01a0,10100000,00000001,00010111,00010011,11101101,0000000000010111,1,0000000000010111,
163,17ec,11101100,00010111,00000001,11101100,11101100,0000000000000001,0,0000000000011000,
164,01a0,10100000,00000001,00010111,00010100,11101100,0000000000010111,1,0000000000010111,
165,17ec,11101100,00010111,00000001,11101011,11101011,0000000000000001,0,0000000000011000,
166,01a0,10100000,00000001,00010111,00010101,11101011,0000000000010111,1,0000000000010111,
167,17ec,11101100,00010111,00000001,11101010,11101010,0000000000000001,0,0000000000011000,
168,01a0,10100000,00000001,00010111,00010110,11101010,0000000000010111,1,0000000000010111,
169,17ec,11101100,00010111,00000001,11101001,11101001,0000000000000001,0,0000000000011000,
170,01a0,10100000,00000001,00010111,00010111,11101001,0000000000010111,1,0000000000010111,
171,17ec,11101100,00010111,00000001,11101000,11101000,0000000000000001,0,0000000000011000,
172,01a0,10100000,00000001,00010111,00011000,11101000,0000000000010111,1,0000000000010111,
173,17ec,11101100,00010111,00000001,11100111,11100111,0000000000000001,0,0000000000011000,
174,01a0,10100000,00000001,00010111,00011001,11100111,0000000000010111,1,0000000000010111,
175,17ec,11101100,00010111,00000001,11100110,11100110,0000000000000001,0,0000000000011000,
176,01a0,10100000,00000001,00010111,00011010,11100110,0000000000010111,1,0000000000010111,
177,17ec,11101100,00010111,00000001,11100101,11100101,0000000000000001,0,0000000000011000,
178,01a0,10100000,00000001,00010111,00011011,11100101,0000000000010111,1,0000000000010111,
179,17ec,11101100,00010111,00000001,11100100,11100100,0000000000000001,0,0000000000011000,
180,01a0,10100000,00000001,00010111,00011100,11100100,0000000000010111,1,0000000000010111,
181,17ec,11101100,00010111,00000001,11100011,11100011,0000000000000001,0,0000000000011000,
182,01a0,10100000,00000001,00010111,00011101,11100011,0000000000010111,1,0000000000010111,
183,17ec,11101100,00010111,00000001,11100010,11100010,0000000000000001,0,0000000000011000,
184,01a0,10100000,00000001,00010111,00011110,11100010,0000000000010111,1,0000000000010111,
185,17ec,11101100,00010111,00000001,11100001,11100001,0000000000000001,0,0000000000011000,
186,01a0,10100000,00000001,00010111,00011111,11100001,0000000000010111,1,0000000000010111,
187,17ec,11101100,00010111,00000001,11100000,11100000,0000000000000001,0,0000000000011000,
188,01a0,10100000,00000001,00010111,00100000,11100000,0000000000010111,1,0000000000010111,
189,17ec,11101100,00010111,00000001,11011111,11011111,0000000000000001,0,0000000000011000,
190,01a0,10100000,00000001,00010111,00100001,11011111,0000000000010111,1,0000000000010111,
191,17ec,11101100,00010111,00000001,11011110,11011110,0000000000000001,0,0000000000011000,
192,01a0,10100000,00000001,00010111,00100010,11011110,0000000000010111,1,0000000000010111,
193,17ec,11101100,00010111,00000001,11011101,11011101,0000000000000001,0,0000000000011000,
194,01a0,10100000,00000001,00010111,00100011,11011101,0000000000010111,1,0000000000010111,
195,17ec,11101100,00010111,00000001,11011100,11011100,0000000000000001,0,0000000000011000,
196,01a0,10100000,00000001,00010111,00100100,11011100,0000000000010111,1,0000000000010111,
197,17ec,11101100,00010111,00000001,11011011,11011011,0000000000000001,0,0000000000011000,
198,01a0,10100000,00000001,00010111,00100101,11011011,0000000000010111,1,0000000000010111,
199,17ec,11101100,00010111,00000001,11011010,11011010,0000000000000001,0,0000000000011000,
200,01a0,10100000,00000001,00010111,00100110,11011010,0000000000010111,1,0000000000010111,
